,id,synopsis,movie_rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio,review,review_rating,fresh,critic,top_critic,publisher,date
49511,1844,"Team America, an international police force dedicated to maintaining global stability, learns that a power hungry dictator is brokering weapons of mass destruction to terrorists. The heroes embark upon a harrowing mission to save the world. To infiltrate the terrorist network, Team America recruits Gary Johnston, a rising star on Broadway to go undercover. Although initially reluctant to sacrifice his promising career, Gary realizes that his acting gift is needed for a higher cause. With the help of Team America leader Spotswoode and fellow members Chris, Sarah, Lisa and Joe, Gary slips into an arms dealer's hideout where he discovers that the terrorists' plot has already begun to unfold. From the pyramids of Cairo to the Panama Canal and finally to the palace of power-mad dictator Kim Jong-Il, Team America criss-crosses the globe on a desperate mission to preserve the very fabric of civilization.",R,Comedy|Drama,Trey Parker,Trey Parker|Matt Stone|Pam Brady,"Oct 11, 2004","May 17, 2005",$,32700000,97 minutes,Paramount Pictures,Raunchy action comedy from South Park team isn't for kids.,0.4,rotten,Nell Minow,0,Common Sense Media,"August 24, 2010"
49787,1857,"Honeymooning newlyweds Cliff (Steve Zahn) and Cydney (Milla Jovovich) are hiking an 11-mile trail in Hawaii when they cross paths will ex-military man Nick (Timothy Olyphant), who earns their trust by helping them navigate a particularly treacherous mountain cliff. A few yards later, the trio runs into a group of girls whose parents are begging them to return home following reports that a honeymooning couple has been murdered on one of the other islands.",R,Action and Adventure|Mystery and Suspense,David Twohy,David Twohy,"Aug 7, 2009","Dec 29, 2009",$,15536310,97 minutes,Universal Pictures,"The film is not a total loss due to its interesting use of suspense and its tactic of placing suspicion on every character. While it's not one of the best thrillers out there, you could easily do worse.",0.62,rotten,Jeff Beck,0,Examiner.com,"September 24, 2012"
49921,1859,"A thief and a lawman join forces to hunt down a common enemy in this action thriller. Tony Fait (DMX) is a master thief who, along with his crew (Gabrielle Union, Anthony Anderson, and Drag-On), pulls off a major score when they steal a cache of highly valuable black diamonds. However, the hard-as-nails Tony has a soft spot for his young daughter Vanessa (Paige Hurd), and Ling (Mark Dacascos), a former detective turned ruthless criminal, kidnaps Vanessa, demanding a ransom from Tony for her return -- the stash of black diamonds. The jewels have already been stolen, however, from Tony's fence Archie (Tom Arnold), and are now in the hands of a powerful underworld boss (Chi McBride). Determined to get back his daughter whatever the cost, Tony and his gang set out to find both Ling and the diamonds, but he soon gets some invaluable help from an unlikely corner -- Su (Jet Li), a government agent from Taiwan who was once Ling's partner, and has an old score to settle with him. Cradle 2 the Grave also features Kelly Hu and Roxana Brusso.",R,Action and Adventure|Drama,Andrzej Bartkowiak,,"Feb 28, 2003","Aug 12, 2003",$,34600000,99 minutes,Warner Bros.,"While it aspires to be cinematic junk food, the picture is relentlessly moronic, eschewing B-movie thrills to wallow in Z-movie production achievements.",0.4,rotten,Brian Orndorf,0,Blu-ray.com,"September 28, 2012"
50032,1862,"Battle of the Year is an international dance crew tournament that attracts all the best teams from around the world, but the Americans haven't won in fifteen years. Los Angeles Hip Hop mogul Dante (Alonso) wants to put the country that started the Sport back on top. He enlists his hard-luck friend Blake (Holloway), who was a championship basketball coach, to coach his team. Armed with the theory that the right coach can make any team champions, they assemble a Dream Team of all the best dancers across the country. With only three months until Battle of the Year, Blake has to use every tactic he knows to get twelve talented individuals to come together as a team if they're going to bring the Trophy back to America where it started. (c) Screen Gems",PG-13,Drama|Musical and Performing Arts|Special Interest,Benson Lee,,"Sep 20, 2013","Dec 10, 2013",$,8888355,109 minutes,Sony Pictures,"Characters are not developed enough. You don't feel for them. Result being, you end up as mere spectators instead of well-wishers. While the film preaches 'passion' for whatever you do, it is exactly what seems to be missing from it.",0.4,rotten,Renuka Vyavahare,0,The Times of India,"November 17, 2017"
50080,1865,"When a weathered, God-fearing ex-blues musician finds the town nymphomaniac severely beaten and left for dead on the side of the road, he vows to cure her of her wicked ways in Hustle &amp; Flow director Craig Brewer's raw and unflinching follow-up. Lazarus (Samuel L. Jackson) is a hard-living ex-blues guitarist for whom the troubled days are beginning to outnumber the good. Rae (Christina Ricci) is a 22-year-old sex addict whose wild ways are finally about to catch up with her. When Lazarus discovers Rae covered in dust and clinging to life on the side of the road, he takes her in and nurses her back to health; but Lazarus isn't your typical caregiver, he's more concerned for Rae's immortal soul than he is for her physical well-being. Now, after chaining Rae down and employing the power of the Good Book to curb the salacious seductress' hedonistic ways, Lazarus will be forced to confront his own darkest demons in order to save the soul of a woman whose one-way ticket to hell has already been paid in full. Now, as Lazarus wages a righteous struggle to redeem the soul of the fallen Rae while simultaneously ensuring that his own life hasn't been lived in vain, the situation threatens to explode as Rae's possessive boyfriend, Ronnie (Justin Timberlake) -- a roughneck Guardsman currently preparing for a tour of duty in Iraq -- comes searching for his missing lover.",R,Drama,Craig Brewer,Craig Brewer,"Mar 2, 2007","Jun 26, 2007",$,9262318,115 minutes,Paramount Vantage,"Brewer uses these plot machinations to investigate ideas of race, religion and redemption in a way that for most of the film's running time is unusually riveting.",0.6,fresh,Kaleem Aftab,0,The List,"November 3, 2018"
50317,1877,"A hard-drinking lush finds himself thrust into superhero mode in director Peter Berg's unconventional look at the private life of a crime-fighter. Will Smith stars as the embittered do-gooder whose lifestyle is more akin to a rock star than a role model, and who has grown as disillusioned with his once-admiring public as they have of him.",PG-13,Action and Adventure|Comedy|Drama,Peter Berg,Vincent Gilligan|Vince Gilligan|Vy Vincent Ngo,"Jun 16, 2008","Nov 25, 2008",$,227946274,92 minutes,Columbia Pictures,"Bateman, whose name is usually mud when it comes to appearing in good movies, brings out the best in Smith the actor and the action becomes surprisingly fresh and funny. ",0.6,fresh,Kaleem Aftab,0,The List,"November 3, 2018"
50797,1884,"What do you get when you mix fearless comedic genius with the latest box-office blockbusters? You guessed it. On April 14th, the Scary Movie gang is back with the most hilarious and irreverent installment yet",PG-13,Comedy,David Zucker,Craig Mazin|David Zucker,"Apr 14, 2006","Aug 15, 2006",$,90672025,83 minutes,Weinstein Co.,A lazy little product of mediocrity that will be woefully outdated in the next year...,0.5,rotten,Felix Vasquez,0,Cinema Crazed,"April 29, 2009"
50950,1890,"A misplaced sausage and his savory friends embark on an existential adventure through the aisles of a massive supermarket in this raunchy animated comedy from Seth Rogen and Evan Goldberg. As the store's annual 4th of July sale draws near, the perishable pals must return to their rightful places on the shelves before the customers come flooding in to fill their carts. Conrad Vernon (Monsters vs. Aliens) takes the helm for this Sony Pictures/AnnaPurna Pictures co-production penned by Rogen, Goldberg, Kyle Hunter, and Ariel Shaffirwhich.",R,Animation|Comedy,Conrad Vernon|Greg Tiernan,Kyle Hunter|Ariel Shaffir|Seth Rogen|Evan Goldberg,"Aug 12, 2016","Nov 8, 2016",$,97661826,89 minutes,Sony Pictures,"It is, simply stated, piss-your-pants funny - both in that I laughed almost hard enough to do that and in that it's the sort of humor where ""pissing your pants"" would be an actual punchline.",0.35,fresh,Bob Chipman,0,Geek,"November 4, 2018"
51232,1898,"One of the most expensive films ever produced in China, the historical action epic Dragon Blade takes place during the Han Dynasty. The story centers on the commander of the Protection Squad of the Western Regions (Jackie Chan), who joins forces with Roman general Lucius (John Cusack) to protect China's sovereignty as power-crazed Tiberius (Adrien Brody) seeks to defeat Lucius once and for all.",R,Action and Adventure|Art House and International|Drama,Daniel Lee,Daniel Lee,"Sep 4, 2015","Dec 22, 2015",$,72413,103 minutes,,"Botched promise abounds, starting with the wasted potential of John Cusack's Roman and Jackie Chan's Chinese guard uniting against Brody's evil Tiberius.",0.4,rotten,Kevin Harley,0,Total Film,"December 12, 2016"
51599,1922,"Fate brings a childless couple a bundle of joy -- who happens to have a criminal record -- in this comedy directed by Keenen Ivory Wayans. Calvin Simms (Marlon Wayans) is a master criminal who with the help of his friend and sidekick, Percy (Tracy Morgan), plans a daring robbery of a museum where one of the world's largest diamonds is on display. One of reasons Calvin is able to get inside secure areas is his size -- Calvin is dwarf who stands less than two feet tall, and can slip in unnoticed where more conventionally sized people would not. While Calvin is able to get the diamond, he's nearly caught by the police while making his getaway, and stashes the jewel in a bag carried by a passerby. Eager to recover the diamond from the unwitting accomplice, Calvin and Percy figure out a way to get into his house -- they dress Calvin up as a baby, and leave him on the doorstep of the passerby's home. As it happens, the couple who live there (Shawn Wayans and Kerry Washington) have been wanting to have a baby, and they eagerly take the new arrival under their wing, embracing the joys of parenthood while ignoring some of the toddler's unusual behavior.",PG-13,Comedy,Keenen Ivory Wayans,Keenen Ivory Wayans|Shawn Wayans|Marlon Wayans,"Jul 14, 2006","Nov 7, 2006",$,58255287,90 minutes,Sony Pictures Releasing,"In spite of the admirable effort that the Wayans brothers went to in digitally transplanting Marlon Wayans head and facial expressions onto the two-foot-six-inch body of a nine-year-old actor, ""Little Man"" is a bawdy and violent comedy that rankles more t",0.47,rotten,Cole Smithey,0,ColeSmithey.com,"April 22, 2009"
